# m h(m) T/T_c 
1.660000 1.802684 1.000000
1.670000 1.805840 1.000000
1.680000 1.808936 1.000000
1.690000 1.812092 1.000000
1.700000 1.815248 1.000000
1.710000 1.818463 1.000000
1.720000 1.821619 1.000000
1.730000 1.824835 1.000000
1.740000 1.828050 1.000000
1.750000 1.831265 1.000000
1.760000 1.834481 1.000000
1.770000 1.837696 1.000000
1.780000 1.840971 1.000000
1.790000 1.844246 1.000000
1.800000 1.847581 1.000000
1.810000 1.850856 1.000000
1.820000 1.854190 1.000000
1.830000 1.857525 1.000000
1.840000 1.860859 1.000000
1.850000 1.864253 1.000000
1.860000 1.867647 1.000000
1.870000 1.871041 1.000000
1.880000 1.874495 1.000000
1.890000 1.877949 1.000000
1.900000 1.881402 1.000000
1.910000 1.884915 1.000000
1.920000 1.888429 1.000000
1.930000 1.892001 1.000000
1.940000 1.895514 1.000000
1.950000 1.899147 1.000000
1.960000 1.902719 1.000000
1.970000 1.906352 1.000000
1.980000 1.910043 1.000000
1.990000 1.913735 1.000000
2.000000 1.917427 1.000000
2.010000 1.921178 1.000000
2.020000 1.924930 1.000000
2.030000 1.928741 1.000000
2.040000 1.932611 1.000000
2.050000 1.936481 1.000000
2.060000 1.940352 1.000000
2.070000 1.944282 1.000000
2.080000 1.948271 1.000000
2.090000 1.952261 1.000000
2.100000 1.956310 1.000000
2.110000 1.960418 1.000000
2.120000 1.964527 1.000000
2.130000 1.968695 1.000000
2.140000 1.972923 1.000000
2.150000 1.977151 1.000000
2.160000 1.981438 1.000000
2.170000 1.985785 1.000000
2.180000 1.990191 1.000000
2.190000 1.994657 1.000000
2.200000 1.999182 1.000000
2.210000 2.003708 1.000000
2.220000 2.008352 1.000000
2.230000 2.012997 1.000000
2.240000 2.017760 1.000000
2.250000 2.022583 1.000000
2.260000 2.027407 1.000000
2.270000 2.032349 1.000000
2.280000 2.037410 1.000000
2.290000 2.042471 1.000000
2.300000 2.047652 1.000000
2.310000 2.052892 1.000000
2.320000 2.058191 1.000000
2.330000 2.063669 1.000000
2.340000 2.069148 1.000000
2.350000 2.074804 1.000000
2.360000 2.080521 1.000000
2.370000 2.086297 1.000000
2.380000 2.092251 1.000000
2.390000 2.098325 1.000000
2.400000 2.104517 1.000000
2.410000 2.110829 1.000000
2.420000 2.117320 1.000000
2.430000 2.123929 1.000000
2.440000 2.130658 1.000000
2.450000 2.137624 1.000000
2.460000 2.144710 1.000000
2.470000 2.152034 1.000000
2.480000 2.159537 1.000000
2.490000 2.167218 1.000000
2.500000 2.175197 1.000000
2.510000 2.183355 1.000000
2.520000 2.191870 1.000000
2.530000 2.200623 1.000000
2.540000 2.209674 1.000000
2.550000 2.219082 1.000000
2.560000 2.228847 1.000000
2.570000 2.239029 1.000000
2.580000 2.249688 1.000000
2.590000 2.260823 1.000000
2.600000 2.272553 1.000000
2.610000 2.284879 1.000000
2.620000 2.297919 1.000000
2.630000 2.311793 1.000000
2.640000 2.326561 1.000000
2.650000 2.342459 1.000000
2.660000 2.359608 1.000000
2.670000 2.378305 1.000000
2.680000 2.398908 1.000000
2.690000 2.421952 1.000000
2.700000 2.448092 1.000000
2.710000 2.478579 1.000000
2.720000 2.515378 1.000000
2.730000 2.562418 1.000000
2.740000 2.630121 1.000000
2.750000 2.774934 1.000000
2.760000 3.430644 1.000000
2.770000 3.599335 1.000000
2.780000 3.721521 1.000000
